s,d_s,theta_1,d_theta_1,u,time,T
1.2388648664164676e-06,-2.55725756868261e-05,1.0180159907502428e-05,-2.1849151467606707e-05,9.94719861290086e-05,9.825000000000136,1.1508554216752983e-06
1.1122306236406976e-06,-2.508112142348195e-05,1.007117925366785e-05,-2.174656920810819e-05,9.829085266883019e-05,9.830000000000137,1.1373998619616047e-06
9.880389816663362e-07,-2.4595535366262577e-05,9.962715590727811e-06,-2.1642340041776828e-05,9.71172114438741e-05,9.835000000000138,1.1240265821943536e-06
8.662606937178381e-07,-2.411577981313667e-05,9.854777021534034e-06,-2.1536516382862487e-05,9.595111062518131e-05,9.840000000000138,1.1107361956263831e-06
7.468667021029381e-07,-2.364181683282333e-05,9.747371388701964e-06,-2.1429149831811394e-05,9.479259606266796e-05,9.84500000000014,1.0975292882510322e-06
6.298281393303392e-07,-2.3173608276216234e-05,9.640506279051664e-06,-2.1320291183067976e-05,9.364171132141924e-05,9.85000000000014,1.084406419227156e-06
5.151163291710235e-07,-2.271111578751007e-05,9.534189027604612e-06,-2.1209990433154585e-05,9.24984977412331e-05,9.85500000000014,1.0713681215515198e-06
4.027027876644064e-07,-2.2254300815136754e-05,9.428426721136418e-06,-2.1098296788702227e-05,9.136299447466331e-05,9.860000000000142,1.058414902495524e-06
2.925592240700373e-07,-2.1803124622610904e-05,9.323226202617718e-06,-2.0985258674137025e-05,9.023523850517029e-05,9.865000000000142,1.0455472438346645e-06
1.8465754176587394e-07,-2.1357548299054443e-05,9.218594074322795e-06,-2.087092373973295e-05,8.911526471129213e-05,9.870000000000143,1.0327656025637045e-06
7.896983909392506e-08,-2.091753276972511e-05,9.11453670271456e-06,-2.0755338869043164e-05,8.800310586586701e-05,9.875000000000144,1.0200704109256668e-06
-2.453158984563046e-08,-2.048303880609709e-05,9.011060221997269e-06,-2.063855018709858e-05,8.689879272560371e-05,9.880000000000145,1.0074620774050487e-06
-1.2587425445044445e-07,-2.0054027035828503e-05,8.908170536781057e-06,-2.052060306834689e-05,8.580235405371723e-05,9.885000000000145,9.949409869912674e-07
-2.2508546692205966e-07,-1.963045795281758e-05,8.805873327411007e-06,-2.040154214373082e-05,8.471381660218454e-05,9.890000000000146,9.825075010284172e-07
-3.2219234162079164e-07,-1.92122919266752e-05,8.704174052631686e-06,-2.028141130896836e-05,8.363320522847585e-05,9.895000000000147,9.70161958494456e-07
-4.172217944681839e-07,-1.879948921228169e-05,8.603077953583949e-06,-2.0160253731988057e-05,8.256054287870211e-05,9.900000000000148,9.579046758497385e-07
-5.102005423965836e-07,-1.8392009959078212e-05,8.50259005735765e-06,-2.0038111860603334e-05,8.149585064069572e-05,9.905000000000149,9.457359476366949e-07
-6.011551028447786e-07,-1.798981422019977e-05,8.402715180544362e-06,-1.9915027430100988e-05,8.043914777568806e-05,9.91000000000015,9.336560468485959e-07
-6.901117932988815e-07,-1.759286196144139e-05,8.303457932790081e-06,-1.9791041470776175e-05,7.939045175167595e-05,9.91500000000015,9.216652253166028e-07
-7.770967308776096e-07,-1.7201113070049858e-05,8.204822720792038e-06,-1.9666194315443017e-05,7.834977827830659e-05,9.920000000000151,9.097637141169919e-07
-8.621358319608012e-07,-1.681452736322675e-05,8.106813750963227e-06,-1.9540525607272664e-05,7.73171413646217e-05,9.925000000000152,8.979517242141221e-07
-9.452548118605353e-07,-1.643306459666693e-05,8.009435033429213e-06,-1.9414074306973437e-05,7.629255331196373e-05,9.930000000000152,8.862294464146906e-07
-1.0264791845341721e-06,-1.6056684472787778e-05,7.912690385136756e-06,-1.928687870037767e-05,7.527602477583017e-05,9.935000000000153,8.745970520588453e-07
-1.1058342623383116e-06,-1.568534664886799e-05,7.816583432962432e-06,-1.915897640576737e-05,7.426756478395773e-05,9.940000000000154,8.630546932389386e-07
-1.1833451558231902e-06,-1.5319010745083446e-05,7.721117617709439e-06,-1.9030404380987113e-05,7.32671807569087e-05,9.945000000000155,8.516025030527112e-07
-1.259036773566434e-06,-1.4957636352214049e-05,7.626296196772131e-06,-1.890119893103907e-05,7.22748785738795e-05,9.950000000000156,8.402405963336045e-07
-1.3329338220453436e-06,-1.460118303934976e-05,7.532122248132822e-06,-1.8771395715158778e-05,7.129066257285799e-05,9.955000000000156,8.289690696836202e-07
-1.405060805546855e-06,-1.4249610361254748e-05,7.438598672582231e-06,-1.8641029754422064e-05,7.031453561900236e-05,9.960000000000157,8.177880022278142e-07
-1.4754420261145585e-06,-1.3902877865826654e-05,7.345728197716284e-06,-1.8510135438550773e-05,6.934649908561891e-05,9.965000000000158,8.066974554402393e-07
-1.544101583532114e-06,-1.3560945101195555e-05,7.253513380600651e-06,-1.8378746533320536e-05,6.838655292621984e-05,9.970000000000159,7.956974739419358e-07
-1.6110633753420882e-06,-1.3223771622794079e-05,7.161956611323461e-06,-1.824689618755662e-05,6.743469568029522e-05,9.97500000000016,7.847880855909438e-07
-1.6763510968994929e-06,-1.2891317000167822e-05,7.071060115215744e-06,-1.8114616940431426e-05,6.649092452525135e-05,9.98000000000016,7.73969302059568e-07
-1.739988241459538e-06,-1.2563540823850167e-05,6.980825956848236e-06,-1.7981940728078653e-05,6.555523526353109e-05,9.985000000000161,7.632411187268361e-07
-1.8019981002987864e-06,-1.2240402711849207e-05,6.891256042695915e-06,-1.784889889091506e-05,6.462762240019206e-05,9.990000000000162,7.526035155363259e-07
-1.8624037628686118e-06,-1.1921862316080986e-05,6.802352123358446e-06,-1.7715522180645047e-05,6.370807915364424e-05,9.995000000000163,7.420564571289156e-07
-1.921228116980922e-06,-1.1607879328843071e-05,6.714115798001075e-06,-1.758184076667438e-05,6.279659744758302e-05,10.000000000000163,7.31599892791038e-07
-1.9784938490249576e-06,-1.1298413488771164e-05,6.626548515686892e-06,-1.7447884243640197e-05,6.189316801438139e-05,10.005000000000164,7.212337575802244e-07
-2.0342234442145177e-06,-1.0993424587052951e-05,6.53965157937364e-06,-1.7313681637689216e-05,6.0997780343642486e-05,10.010000000000165,7.109579718015848e-07
-2.0884391868651957e-06,-1.0692872473218159e-05,6.453426148134156e-06,-1.717926141360121e-05,6.011042276695864e-05,10.015000000000166,7.007724419396936e-07
-2.1411631607006162e-06,-1.039671706095011e-05,6.3678732402649985e-06,-1.7044651481392835e-05,5.923108245360978e-05,10.020000000000167,6.906770606366722e-07
-2.192417249187206e-06,-1.0104918333685702e-05,6.282993735950981e-06,-1.69098792031243e-05,5.835974545288162e-05,10.025000000000167,6.806717071698025e-07
-2.2422231358966975e-06,-9.817436350110945e-06,6.19878837948562e-06,-1.677497139958354e-05,5.7496396714951206e-05,10.030000000000168,6.707562476941582e-07
-2.290602304896103e-06,-9.534231249651261e-06,6.115257782823846e-06,-1.663995435655395e-05,5.664102009193681e-05,10.035000000000169,6.609305352822364e-07
-2.337576041164278e-06,-9.255263257618731e-06,6.032402427358363e-06,-1.6504853831703135e-05,5.579359840650596e-05,10.04000000000017,6.511944106780801e-07
-2.3831654310344653e-06,-8.9804926904563e-06,5.950222667916449e-06,-1.636969506074877e-05,5.495411343248654e-05,10.04500000000017,6.415477021201434e-07
-2.427391362661903e-06,-8.70987996051868e-06,5.868718733204048e-06,-1.6234502764620237e-05,5.412254598752397e-05,10.050000000000171,6.319902263440226e-07
-2.4702745265163725e-06,-8.44338558126908e-06,5.787890730690748e-06,-1.6099301154932395e-05,5.329887584991976e-05,10.055000000000172,6.225217877244259e-07
